municipio,UF,Módulo fiscal (ha),,
São Roque do Canaã,ES,18,,
Serra,ES,12,,
Sooretama,ES,20,,
Vargem Alta,ES,16,,
Venda Nova do Imigrante,ES,18,,
Viana,ES,12,,
Vila Pavão,ES,20,,
Vila Valério,ES,20,,
Vila Velha,ES,12,,
Vitória,ES,7,,
Abadia de Goiás,GO,24,,
Abadiânia,GO,40,,
Acreúna,GO,30,,
Adelândia,GO,22,,
Água Fria de Goiás,GO,35,,
Água Limpa,GO,45,,
Águas Lindas de Goiás,GO,40,,
Alexânia,GO,30,,
Aloândia,GO,35,,
Alto Horizonte,GO,60,,
Alto Paraíso de Goiás,GO,70,,
Alvorada do Norte,GO,70,,
Amaralina,GO,60,,
Americano do Brasil,GO,22,,
Amorinópolis,GO,20,,
Anápolis,GO,16,,
Anhanguera,GO,45,,
Anicuns,GO,22,,
Aparecida de Goiânia,GO,22,,
Aparecida do Rio Doce,GO,40,,
Aporé,GO,40,,
Araçu,GO,22,,
Aragarças,GO,45,,
Aragoiânia,GO,24,,
Araguapaz,GO,45,,
Arenópolis,GO,50,,
Aruanã,GO,50,,
Aurilândia,GO,28,,
Avelinópolis,GO,20,,
Baliza,GO,45,,
Barro Alto,GO,30,,
Bela Vista de Goiás,GO,35,,
Bom Jardim de Goiás,GO,45,,
Bom Jesus de Goiás,GO,22,,
Bonfinópolis,GO,16,,
Bonópolis,GO,60,,
Brazabrantes,GO,20,,
Britânia,GO,50,,
Buriti Alegre,GO,40,,
Buriti de Goiás,GO,22,,
Buritinópolis,GO,70,,
Cabeceiras,GO,45,,
Cachoeira Alta,GO,24,,
Cachoeira de Goiás,GO,30,,
Cachoeira Dourada,GO,24,,
Caçu,GO,35,,
Caiapânia,GO,60,,
Caldas Novas,GO,45,,
Caldazinha,GO,35,,
Campestre de Goiás,GO,20,,
Campinaçu,GO,50,,
Campinorte,GO,60,,
Campo Alegre de Goiás,GO,28,,
Campo Limpo de Goiás,GO,16,,
Campos Belos,GO,80,,
Campos Verdes,GO,50,,
Carmo do Rio Verde,GO,20,,
Castelândia,GO,30,,
Catalão,GO,40,,
Caturaí,GO,20,,
Cavalcante,GO,70,,
Ceres,GO,20,,
Cezarina,GO,22,,
Chapadão do Céu,GO,40,,
Cidade Ocidental,GO,40,,
Cocalzinho de Goiás,GO,35,,
Colinas do Sul,GO,70,,
Córrego do Ouro,GO,26,,
Corumbá de Goiás,GO,35,,
Corumbaíba,GO,45,,
Cristalina,GO,40,,
Cristianópolis,GO,35,,
Crixás,GO,60,,
Cromínia,GO,35,,
Cumari,GO,45,,
